img,date,location,city,state,species,clicked_by,scientific_name,sub_species,species_name,sub_sub_family,sub_family,latitude,longitude
3-10.jpg,26-07-20,"Nawabganj, Unnao(Uttar Pradesh)",,UttarPradesh,Grizzled Skipper (Spialia Galba,Ratindra Pandey,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.621,80.6683
3-11.jpg,07-11-20,Bangalore,Bangalore,Karnataka,Asian Marbelled Skipper ,Kanishka Sarangi,Gomalia Elma albofasciata,Elma,Gomalia,Carcharodini,Pyrginae,12.9716,77.5946
3-12.jpg,02-07-20,"Kannur, Kerala ",Kannur,Kerala,grizzled skipper ,A.V. Unnikrishnan Kalliad,Pyrgus malvae,malvae,Pyrgus,Pyrgini,Pyrginae,11.8745,75.3704
3-13.jpg,07-02-20,Mysore ,Mysore,Karnataka,ASIAN MARBLED SKIPPER ( Gomalia Elma albofasciata ) ,Arun Urs,Gomalia Elma albofasciata,Elma,Gomalia,Carcharodini,Pyrginae,12.2958,76.6394
3-14.jpg,02-07-20,"Kannur, Kerala ",Kannur,Kerala,Indian grizzled skipper,A.V. Unnikrishnan Kalliad,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,11.8745,75.3704
3-15.jpg,08-09-20,"Kaiga,Uttara Kannada, Karnataka",,Karnataka,Ganara Thyrsis,Puttaraju Kenchappa,Gangara Thyrsis Thyrsis,Thyrsis,Gangara,Aeromachini,Hesperiinae,14.8661,74.4394
3-16.jpg,22-10-20,"Pune, Maharashtra",Pune,Maharashtra,,Nithin Belle,Hesperiidae,,,,,18.5204,73.8567
3-17.jpg,12-04-20,Bengaluru,Bangalore,Karnataka,,Padmaraju Mysore Ranganath,Hesperiidae,,,,,12.9716,77.5946
3-18.jpg,17-10-20,"Guwahati, Assam",Guwahati,Assam,Pothanthus mingo ,Kripaljyoti Mazumdar,Pothanthus mingo ,spp,Potanthus,Taractrocerini,Hesperiinae,26.1445,91.7362
3-19.jpg,12-02-20,"Singanallur lake, Coimbatore",Coimbatore,Tamilnadu,African Marbled skipper,Sadheeskumar K,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,10.9891,77.0227
3-20.jpg,20-11-20,Varanasi ,,UttarPradesh,Indian grizzled skipper - Spialia Galba,Priyanka Kumari,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,25.3176,82.9739
3-21.jpg,30-05-20,Visakhapatnam ,,AndhraPradesh,African Marbled Skipper(Gomalia Elma),Rama Krishna,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,17.6868,83.2185
3-22.jpg,17-10-20,"Uttarakannada, Karnataka ",,Karnataka,Pygmy Scrub Hopper,Puttaraju Kenchappa,Aeromachus pygmaeus,pygmaeus,Aeromachus,Aeromachini,Hesperiinae,14.7937,74.6869
3-23.jpg,07-11-20,Bangalore,Bangalore,Karnataka,Asian Marbelled Skipper,Kanishka Sarangi,Gomalia Elma albofasciata,Elma,Gomalia,Carcharodini,Pyrginae,12.9716,77.5946
2-24.jpg,02-09-20,"Davangere, Karnataka",,Karnataka,African Marbled Skipper,Dr-Shishupala S,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,14.4644,75.9218
3-25.jpg,19-06-20,WB,,WestBengal,Indian Grizzled Skipper ,Prosenjit Das,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,22.9868,87.855
3-26.jpg,15-01-20,"Bandipur, Karnataka",Bandipur,Karnataka,Banana skipper,Nitin Marathe,Erionota Thrax Thrax,Thrax,Erionota,Aeromachini,Hesperiinae,11.6677,76.6326
bns.jpg,17-04-20,Assam,,Assam,banana skipper,Satyendra Dutta,Erionota Thrax Thrax,Thrax,Erionota,Aeromachini,Hesperiinae,26.2006,92.9376
3-27.jpg,26-01-20,"Sinhagad Valley, Pune, Maharashtra",Pune,Maharashtra,,Pavan Damoor,Hesperiidae,,,,,18.3759,73.7692
3-28.jpg,22-05-20,"Kannur, Kerala ",Kannur,Kerala,indian Grizzled Skipper,A.V. Unnikrishnan Kalliad,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,11.8745,75.3704
3-29.jpg,13-09-20,Maharashtra,,Maharashtra,Indian Skipper (Spialia Galba),Laxmishankar Yadav,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,19.7515,75.7139
3-30.jpg,16-08-20,"Jorhat, Assam",Jorhat,Assam,ndian Grizzled Skipper,Pankaj Baruah,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.7509,94.2037
3-31.jpg,28-08-20,Ranthambore,Ranthambore,Rajasthan,Asian Grizzled Skipper *Spialia Galba* ,Dharmendra Khandal,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.0173,76.5026
grizz.jpg,10-12-20,Goa,,Goa,Indian grizzled skipper,Nicole Koshy,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,15.2993,74.124
3-32.jpg,29-11-20,"Pune, Maharashtra",Pune,Maharashtra,omaha,Swanand Oak,Potanthus omaha,,Potanthus,Taractrocerini,Hesperiinae,18.5204,73.8567
3-33.jpg,26-02-20,Bangalore,Bangalore,Karnataka,INDIAN SKIPPER,Vikram Bellur,Hesperiidae,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
3-34.jpg,24-02-20,Vadodara Gujarat ,Vadodara Gujarat ,Gujarat,,Deepti Patel Mehta,Hesperiidae,,,,,22.3072,73.1812
3-35.jpg,06-08-20,"Sriperumbudur, Tamilnadu ",,Tamilnadu,Indian Skipper,Vijay,Hesperiidae,Galba,Spialia,Carcharodini,Pyrginae,12.9625,79.9453
3-36.jpg,06-05-20,"Konalu, Dakshina Kannada",Karnataka,Kannada,Spialia Galba,Shubha Bhat,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.8406,75.3823
grizz.jpg,20-02-20,"Sindhudurga , Maharashtra",Sindhudurg,Maharashtra,Parasitized Banana skipper ,Mangal Rane,Erionota Thrax Thrax,Thrax,Erionota,Aeromachini,Hesperiinae,16.3492,73.5594
3-37.jpg,12-10-20,Uttar Pradesh,,UttarPradesh,Indian Grizzled Skipper (Spialia Galba ,Ratindra Pandey,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.8467,80.9462
3-38.jpg,29-12-20,west bengal,,WestBengal,,Riddha Roy Tubelight,Hesperiidae,,,,,22.9868,87.855
3-39.jpg,27-04-20,,,Karnataka,Asian Grizzled Skipper,Shashank Pathour,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,,
3-40.jpg,17-09-20,Rajasthan,,Rajasthan,Lesser Millet Skipper,Rajpal Singh Tanwar,Pelopidas Mathias,Mathias,Pelopidas,Baorini,Hesperiinae,27.0238,74.2179
3-41.jpg,09-08-20,Uttar Pradesh,,UttarPradesh,Grizzled Skipper (Spialia Galba ,Ratindra Pandey,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.8467,80.9462
3-42.jpg,06-09-20,Bangalore,Bangalore,Karnataka,Indian Grizzled Skipper,Kanishka Sarangi,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
3-43.jpg,12-07-20, Punjab ,,Punjab,Indian grizzled skipper Spialia Galba,Tanya Vinit Mishra,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,31.1471,75.3412
3-44.jpg,18-06-20,"WB, India",,WestBengal,Indian Grizzled Skipper ,Prosenjit Das,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,22.9868,87.855
3-45.jpg,01-10-20,Madhya Pradesh,,MadhyaPradesh,Branded Skipper,Nikhil Jambhale,Hesperiidae,,,Hesperia,Hesperiinae,22.9734,78.6569
grizz.jpg,31-10-20,"Rajapalayam, TN",Rajapalayam,Tamilnadu,Indian Grizzled Skipper (Spialia Galba),Sharan Venkatesh,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,9.4515,77.5543
4-1.jpg,07-03-20,"Namdapha National Park, Arunachal Pradesh, India.",Changlang,ArunachalPradesh,Indian Skipper(Burara Amara),Isaac Kehimkar,Burara Amara,amara,Burara,,Coeliadinae,27.4455,96.5358
4-2.jpg,19-08-20,"Kadma,Bankura,West Bengal",Bankura,WestBengal,Coladenia indrani -Tricolour pied flat,Aniruddha singhamahapatra,Coladenia indrani indra,indrani,Coladenia,Tagiadini,Pyrginae,22.9888,87.0106
4-3.jpg,22-06-20,"Kadma,Bankura,West Bengal",Bankura,WestBengal,Hyarotis adrastus - Tree flitter,Aniruddha singhamahapatra,Hyarotis adrastus praba,adrastus,Hyarotis,Aeromachini,Hesperiinae,22.9888,87.0106
