img,date,location,species,click by,scientific name,latitude,longitude
3-2.jpg,29-08-20,bengaluru,Gomalia elma albofasciata-Asian marbled skipper,Nagraj Veeraswami,Gomalia elma albofasciata,12.9716,77.5946
3-3.jpg,31-Dec-20,S-W bangalore,Grizzled Skipper. Pyrgus malvae,Debomita Chakrabarti,Pyrgus malvae,12.972442,77.580643
3-4.jpg,31-Jul-20,Karnataka ,"African marbled skipper,Gomalia elma",Ashwini Ashok,Gomalia elma,15.3173,75.7139
3-5.jpg,05-Oct-20,"Satara, Maharashtra",lesser millet skipper Canon 200D with Tamron 90mm macro,Raag Anurag,Pelopidas mathias,17.6805,74.0183
3-6.jpg,30-Aug-20,"Lucknow,UP ",grizzled skipper (Spialia galba) ,Prakash Vir Singh,Spialia galba,26.8467,80.9462
3-7.jpg,19-Jul-20,"Rajshahi,Bangladesh.",Grizzled Skipper (Spialia galba) ,Md Kayes,Spialia galba,24.3745,88.6042
3-8.jpg,08-Nov-20,"Goregaon, Mumbai, Maharashtra",Banana Skipper,Raju Kasambe,Erionota thrax thrax,19.1663,72.8526
3-9.jpg,Jun-20,Satargaon Rani Assam,Spialia galba Fabricius,Prakash K K,Spialia galba Fabricius,25.8,91.27
3-10.jpg,26-Jul-20,"Nawabganj, Unnao(Uttar Pradesh)",Grizzled Skipper (Spialia galba,Ratindra Pandey,Spialia galba,26.621,80.6683
3-11.jpg,07-Nov-20,Bangalore,Asian Marbelled Skipper ,Kanishka Sarangi,Gomalia elma albofasciata,12.9716,77.5946
3-12.jpg,2.7.2020.,"Kannur, Kerala ",grizzled skipper ,A.V. Unnikrishnan Kalliad,Pyrgus malvae,11.8745,75.3704
3-13.jpg,07-Feb-20,Mysore ,ASIAN MARBLED SKIPPER ( Gomalia elma albofasciata ) ,Arun Urs,Gomalia elma albofasciata,12.2958,76.6394
3-14.jpg,02-Jul-20,"Kannur, Kerala ",Indian grizzled skipper,A.V. Unnikrishnan Kalliad,Spialia galba,11.8745,75.3704
3-15.jpg,08-Sep-20,"Kaiga,Uttara Kannada, Karnataka",Ganara thyrsis,Puttaraju Kenchappa,Gangara thyrsis thyrsis,14.8661,74.4394
3-16.jpg,22-Oct-20,"Pune, Maharashtra",Silver-spotted skipper,Nithin Belle,Epargyreus clarus,18.5204,73.8567
3-17.jpg,12-Apr-20,Bengaluru,Silver-spotted skipper,Padmaraju Mysore Ranganath,Epargyreus clarus,12.9716,77.5946
3-18.jpg,"17th October, 2020","Guwahati, Assam",Pothanthus mingo ,Kripaljyoti Mazumdar,Pothanthus mingo ,26.1445,91.7362
3-19.jpg,12-Feb-20,"Singanallur lake, Coimbatore",African Marbled skipper,Sadheeskumar K,Gomalia elma,10.9891,77.0227
3-20.jpg,20-Nov-20,Varanasi ,Indian grizzled skipper - Spialia galba,Priyanka Kumari,Spialia galba,25.3176,82.9739
3-21.jpg,30-May-20,Visakhapatnam ,African Marbled Skipper(Gomalia elma),Rama Krishna,Gomalia elma,17.6868,83.2185
